bankrupt,interest_coverage_ratio_interest_expense_to_ebit,debt_ratio_,total_expenseassets,operating_gross_margin,research_and_development_expense_rate,retained_earnings_to_total_assets,current_ratio,working_capital_to_total_assets,net_income_to_stockholders_equity,net_value_per_share_b,equity_to_liability,operating_expense_rate,interest_expense_ratio,persistent_eps_in_the_last_four_seasons,current_liability_to_current_assets,roac_before_interest_and_depreciation_before_interest,borrowing_dependency
1,0.564050112276341,0.207576261450555,0.064855707690831,0.601457213277793,0.0,0.903224771166726,0.0022589633105668,0.67277529248986,0.82789021403512,0.147949938898487,0.0164687409123162,0.0001256968688759,0.629951302036958,0.16914058806845,0.11825047660899,0.370594257300249,0.390284354359258
1,0.570174946412453,0.171176346101521,0.0255158599950638,0.610235085544617,0.0,0.931065217577487,0.0060162058776727,0.751110917003808,0.839969268005573,0.182251064009102,0.020794306334635,0.0002897850537287,0.635172463390912,0.2089439349532,0.0477752815903248,0.464290937454297,0.376760019951553
1,0.563706076496047,0.207515796474892,0.0213874282332057,0.601450006486113,25500000.0,0.90990336247412,0.0115425536893801,0.829501914934622,0.836774308550174,0.177910749652353,0.0164741143272785,0.0002361297205563,0.629631443404885,0.180580504869056,0.0253464891288078,0.426071271876371,0.379092920106557
1,0.564663420271241,0.151464764035432,0.0241610701740241,0.583541129160121,0.0,0.906902158837211,0.004194058676884,0.725754179688242,0.834697106753341,0.154186507100417,0.0239823322073886,0.0001078888488144,0.63022835303626,0.193722227474709,0.0672496172630687,0.399844001364988,0.379742687599394
1,0.575616645216918,0.106509054630105,0.0263852456518637,0.598783493564335,0.0,0.91385019745186,0.0060224461078124,0.751822452472965,0.839972745788203,0.167502422991024,0.0354902008836198,7890000000.0,0.636054985548143,0.212536636097192,0.0477253717624306,0.465022181055916,0.375025442703033
1,0.56453833936354,0.180427487377936,0.0400936219797891,0.590171377506162,0.0,0.903041267113845,0.0027400850543368,0.686728646249993,0.829938957445841,0.15557709325355,0.0195344778286463,0.0001571499952184,0.630183833098177,0.174435095017491,0.099521933114496,0.388680349046946,0.38144818747302
0,0.564200119780965,0.216101823019016,0.0928023065929925,0.619949840729904,730000000.0,0.911441407767521,0.004672060305584,0.729416462238773,0.829979763773696,0.158821794277527,0.0156630746538442,0.0003984833580005,0.629987945370611,0.161482461945731,0.060765124792415,0.390922829425243,0.384998982291879
0,0.566088941755739,0.108202073948665,0.0254821527696264,0.601738278153332,50900000.0,0.935449309245632,0.0096573801641804,0.797005213929915,0.841459439726482,0.176983692216931,0.0348885561799154,9000000000.0,0.631379022205175,0.22520563486811,0.0302011045942807,0.508360551845171,0.374219104729994
0,0.565591901310376,0.058590561417299,0.0298840610686264,0.603612043990256,0.0,0.935200209287994,0.0134988658381721,0.813737522948239,0.840486633095349,0.184189456828621,0.0658264974662765,0.000168713644609,0.630914987465925,0.218398411647915,0.021710461445184,0.48851947545459,0.370253398138601
0,0.566667622359207,0.121292741179672,0.0358910619841396,0.599208694273483,0.0,0.938289896761562,0.0114745351808575,0.825695870708439,0.840688177069564,0.177447220934642,0.0308008650901007,5820000000.0,0.6321882576951,0.217831143046232,0.0254943019553504,0.495685662750451,0.374508760118367
0,0.565891530490222,0.103576503310457,0.0288024007502241,0.61402585796855,1900000000.0,0.942828956208544,0.0060973288694887,0.75120434292108,0.841337129150271,0.1829252875985,0.0365716913238882,0.0003181159947357,0.631236900864372,0.218965680249598,0.0471663480130232,0.482474528347877,0.374179962109944
0,0.566982649156004,0.0943858270097046,0.0569522804331302,0.623711785987114,1210000000.0,0.93295521516369,0.0086289902371599,0.769113889446861,0.840649731622796,0.173865408115966,0.0403810196995266,0.000476653627881,0.632095793208312,0.204689420440579,0.0337116016801524,0.444401111490274,0.373113046123427
0,0.567146326659175,0.144662454273362,0.0289815649541968,0.608130702373917,0.0,0.930139634781563,0.0066308685464319,0.760000221809245,0.840702415877267,0.169398676836206,0.0252817202305257,0.0001571499952184,0.632377638662484,0.219343859317387,0.0435139896178212,0.491151952420416,0.377306898271686
0,0.577445287454369,0.106569519605768,0.0244835563399058,0.600577984692775,917000000.0,0.930763202677411,0.0101004365040983,0.791909626507644,0.839910496767797,0.171547764527411,0.0354641087749807,0.0001137863100036,0.640422733935152,0.212914815164981,0.0289016723593667,0.474040852142544,0.373151070382904
0,0.565614320447007,0.0896393264201711,0.0119415074643122,0.604685855950648,0.0,0.94025165752662,0.0188592235281637,0.802390919116921,0.841623679912454,0.180565505035607,0.0426464252172529,9370000000.0,0.63167079903015,0.226434716838423,0.0155531326728028,0.506703066348169,0.373692356900173
0,0.565618081410697,0.0990718626235753,0.0553818953293584,0.621773159025065,79800000.0,0.933540910463702,0.0113310098876447,0.7919906610319,0.841399049949549,0.174328936833677,0.0383537473633107,0.0003237821829371,0.631097176751003,0.223787463363903,0.0258128487067077,0.513820504070589,0.373544733304554
0,0.565999165334269,0.0612812528342957,0.0076786087302244,0.60652358782917,849000000.0,0.942018218547371,0.0062177653111846,0.752032218453819,0.840888957443775,0.183852345033922,0.0629402296529157,0.000179814748024,0.631239298091807,0.220194762219911,0.0462912301964762,0.48890947204212,0.372267565530338
0,0.565659317841955,0.0787253983130272,0.0400184855275817,0.618450828060364,0.0,0.948858906532939,0.016156579854665,0.816363501604604,0.841983321753659,0.189541106569466,0.0488219275181613,0.000248734098392,0.631059506034164,0.233052850524723,0.0181566375652698,0.535952810412909,0.372724975004641
0,0.567398597856035,0.141336880611906,0.0200027998283443,0.598343879271826,119000000.0,0.935009281984505,0.0072199462716185,0.766580251219532,0.840954675675957,0.175129577346087,0.0259532229881063,5630000000.0,0.632451952712977,0.220005672686017,0.0400836626660674,0.504070589382343,0.378709322430063
0,0.56572207807259,0.0774858663119388,0.0872959625304909,0.636258810302829,0.0,0.933563970913442,0.0133584606600291,0.809073201243094,0.840455976086351,0.176478024524883,0.0496224552784151,0.0006113701432817,0.631267722359968,0.217452963978444,0.0219368610613265,0.487398235265441,0.371230845279288
0,0.565170865120315,0.0963509387187471,0.0235294828509088,0.622176739359172,1040000000.0,0.939765139730377,0.0267194174121142,0.789153248025469,0.840638613018106,0.189119716826092,0.0395070046859079,0.0003630985908652,0.630623553102012,0.219343859317387,0.0109407284049022,0.485253254034027,0.36963718146295
0,0.565589111140646,0.100734649454304,0.033490377677269,0.607446057164272,1190000000.0,0.937920804869362,0.0157590771947669,0.847345861558187,0.841311469523341,0.185453626058742,0.0376800863548014,0.0001609659995173,0.630982794756236,0.225394724402004,0.0186129431781689,0.504558085116755,0.371209596428404
0,0.567289099516091,0.146506636031079,0.0567865521129865,0.618933683102956,0.0,0.936223801831732,0.0071625361543333,0.764144883469675,0.841234473750761,0.176983692216931,0.0249146049780394,0.0003166127203149,0.632237229626991,0.22322019476222,0.0403947838257492,0.512016769853264,0.377012769441021
0,0.568730145641783,0.19303443480364,0.0230569804778184,0.609507199584889,0.0,0.93856123349435,0.0051662865326473,0.734030366532548,0.840325896066444,0.184400151700308,0.0180051246099532,0.0001717201934506,0.634338913165573,0.218965680249598,0.0552426750998399,0.49485692000195,0.38727596441824
0,0.568042939905936,0.19451582670738,0.0288464702634791,0.602956225947333,0.0,0.933883562062243,0.0057160508079538,0.745811316274545,0.84104674505462,0.172896211706207,0.0178392006258175,94100000.0,0.633345776085259,0.22189656802496,0.0501706511809911,0.509969287768732,0.388057698458675
0,0.562377109788118,0.14674849593373,0.0298788242134928,0.611762925380879,1240000000.0,0.923742746015952,0.006329465430685,0.752991982324317,0.837925614007031,0.161307993763432,0.0248687285439358,0.0003359240147973,0.628951315735401,0.203554883237213,0.0455039195364612,0.444986106371569,0.377159274676067
0,0.565722915029787,0.092057925446685,0.0531008179927038,0.626544055117543,900000000.0,0.942045500965593,0.0055637891925454,0.746912099549146,0.841187894768005,0.179217057856812,0.0414649657362741,0.0003980208120249,0.631321488746729,0.224260187198639,0.0514813759696364,0.519280456296007,0.37216691307878
